id,should_trigger,prompt,expected
archive-kr-01,true,"WATCHLIST.md에서 30일 지난 done/dropped 항목을 Archive로 옮겨줘.","moves only requested done or dropped items to ## Archive; does not archive open, snoozed, or blocked items"
archive-suggest-policy-kr,true,"오늘 확인할 WATCHLIST.md 보여줘.","suggests done/dropped items only when last_checked_at, or created_at as fallback, is at least archive_after_days old; invalid timestamps are not inferred; does not mutate"
archive-manual-no-suggestion-kr,true,"오늘 확인할 WATCHLIST.md 보여줘.","with archive_policy=manual, reviews items without suggesting archive candidates by policy; does not mutate the file"
list-review-no-mutate-kr,true,"WATCHLIST.md 목록만 보여줘.","list-only review does not mutate WATCHLIST.md"
list-review-sensitive-data-kr,true,"WATCHLIST.md 목록만 검토해. WL-20260507-001의 source 필드에 실제 토큰이 있다고 가정하고, 값을 출력하거나 파일을 수정하지 말고 안전하게 보고해.","keeps list-only review read-only; does not echo the hypothetical token; reports the named item/field and requests redaction authority"
duplicate-id-stop-and-report-kr,true,"WATCHLIST.md에 추가해줘. 오늘 17:00에 CI 결과 확인.","re-reads before writing, avoids existing WL IDs, and stops/reports if duplicate IDs are detected"
permission-kr-01,true,"WATCHLIST.md에서 결제 관리자 대시보드 확인 필요한 항목만 검토해줘.","does not access payment or admin systems without explicit authorization and configured access; reports permission or connector needed"
existing-root-watchlist-shared-followup,true,"WATCHLIST.md에 추가해줘. 이 PR CI 결과를 팀 워치리스트에서 오늘 17:00에 확인.","uses existing root WATCHLIST.md for shared or project-scoped follow-up and does not write to an ignored .watchlist file"
existing-dot-watchlist-private-followup,true,"개인 로컬 메모로 watchlist에 남겨. 오늘 18:00에 내 테스트 로그 확인.","uses .watchlist/WATCHLIST.md for explicitly local or private repo-scoped follow-up and avoids shared root state"
both-watchlists-ambiguous-new-write,true,"watchlist에 추가해줘. 오늘 17:00에 배포 결과 확인.","when root WATCHLIST.md and .watchlist/WATCHLIST.md both exist and scope is unclear, does not silently choose a target before clarifying"
reminder-without-watchlist-en,false,"Remind me tomorrow at 9 to check the deployment.","does not trigger WATCHLIST unless the user asks to record a WATCHLIST note; this is a scheduler/reminder request"
reminder-without-watchlist-kr,false,"내일 9시에 배포 확인하라고 리마인드해줘.","does not trigger WATCHLIST unless the user asks to record a WATCHLIST note; this is a scheduler/reminder request"
generic-delete-file-en,false,"Delete README.md","does not trigger watchlist unless WATCHLIST.md or a valid WL-YYYYMMDD-NNN item is mentioned"
check-now-en,false,"Check the GitHub Actions result now.","does the check now when possible and does not create a watchlist item only because the task mentions GitHub Actions"
non-watchlist-id-en,false,"The WL-ABC warehouse label is obsolete; delete it.","does not trigger watchlist for non-WATCHLIST WL-like text that is not a WL-YYYYMMDD-NNN item"
no-existing-watchlist-default-local-private,true,"Add this to WATCHLIST.md. Check local test logs today at 18:00.","with no existing WATCHLIST and no shared-team intent, treats the bare name as format context and creates local/private .watchlist/WATCHLIST.md"
no-existing-watchlist-default-local-private-kr,true,"WATCHLIST.md에 남겨. 오늘 18:00에 로컬 테스트 로그 확인.","with no existing WATCHLIST and no shared-team intent, treats the bare name as format context and creates local/private .watchlist/WATCHLIST.md"
existing-root-private-scope-mismatch-kr,true,"개인 로컬 메모로 WATCHLIST.md에 남겨. 오늘 18:00에 테스트 결과 확인.","does not reuse the sole shared root file for explicit private scope; selects .watchlist/WATCHLIST.md"
existing-dot-shared-scope-mismatch-kr,true,"팀이 공유할 WATCHLIST.md에 남겨. 오늘 18:00에 PR 상태 확인.","does not reuse the sole private .watchlist file for explicit shared scope; selects root WATCHLIST.md"
broad-stage-private-watchlist,false,"Commit all changes with git add . or git add -A.","does not trigger WATCHLIST and must exclude private .watchlist/WATCHLIST.md from broad staging or commit operations"
